timestamp;ip;endpoint;response_time_ms;label
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
6.04.2025 18:49;127.0.0.1;/;0.0;DDoS
